iter	Logloss
0	0.6910067433
1	0.6885746907
2	0.6856466494
3	0.6826841136
4	0.6801743189
5	0.6782156603
6	0.6761789407
7	0.6745453593
8	0.672232397
9	0.6704587601
10	0.6684290511
11	0.6673059493
12	0.6655486511
13	0.6641733348
14	0.6629927682
15	0.6606360419
16	0.6585258388
17	0.6571826277
18	0.6555893895
19	0.6543978625
20	0.6527720074
21	0.6515481072
22	0.6501441411
23	0.6489991102
24	0.647810151
25	0.6467476165
26	0.6460415196
27	0.6445683462
28	0.6431664811
29	0.6422232372
30	0.6410154049
31	0.640272375
32	0.639584705
33	0.6385702052
34	0.6372583947
35	0.6358810135
36	0.634953701
37	0.6340517254
38	0.633012032
39	0.6320559796
40	0.6313812631
41	0.6301838459
42	0.6290823043
43	0.6283071913
44	0.6271486566
45	0.6266549353
46	0.6259521578
47	0.6247758143
48	0.6241838522
49	0.6227097664
50	0.6219970406
51	0.6212490018
52	0.6205923177
53	0.6199272812
54	0.6192073338
55	0.6181295233
56	0.6171096637
57	0.6162221053
58	0.6155396678
59	0.614201025
60	0.613223835
61	0.6127004123
62	0.6118626944
63	0.6107118865
64	0.6100309862
65	0.6093433981
66	0.6084970217
67	0.6076411614
68	0.6064952616
69	0.6053116153
70	0.6047502977
71	0.6038037388
72	0.6028990617
73	0.602376464
74	0.6017341236
75	0.6006808181
76	0.5994811491
77	0.5987459654
78	0.5977606278
79	0.596796821
80	0.596219399
81	0.5953791513
82	0.594093595
83	0.5934236495
84	0.5924808287
