iter	Passed	Remaining
0	62	125834
1	65	65646
2	68	45520
3	71	35572
4	73	29378
5	76	25288
6	78	22370
7	81	20201
8	83	18539
9	86	17174
10	88	16056
11	91	15220
12	94	14396
13	96	13626
14	98	13009
15	100	12475
16	102	11962
17	104	11507
18	106	11130
19	108	10765
20	111	10485
21	113	10183
22	115	9933
23	117	9698
24	119	9443
25	122	9291
26	124	9098
27	126	8915
28	129	8777
29	131	8619
30	133	8475
31	135	8316
32	137	8182
33	140	8116
34	142	7997
35	144	7870
36	146	7759
37	148	7651
38	150	7548
39	151	7437
40	153	7345
41	155	7254
42	157	7174
43	159	7085
44	161	7006
45	163	6927
46	165	6862
47	166	6788
48	168	6718
49	170	6661
50	173	6613
51	175	6564
52	177	6523
53	179	6472
54	181	6424
55	183	6366
56	185	6319
57	187	6267
58	189	6223
59	190	6170
60	192	6122
61	194	6079
62	197	6066
63	199	6046
64	202	6031
65	206	6043
66	208	6009
67	210	5993
68	213	5965
69	215	5928
70	216	5893
71	218	5860
72	221	5835
73	222	5803
74	225	5780
75	227	5755
76	229	5726
77	231	5696
78	233	5667
79	235	5645
80	237	5620
81	239	5610
82	241	5586
83	243	5562
84	246	5555
